ident,type,name,iso_region,iata_code
0B7,small_airport,Warren-Sugarbush Airport,US-VT,
0C1,small_airport,Triple R Airport,US-MO,
0C2,small_airport,Hinckley Airport,US-IL,
0C5,small_airport,Canadian Lakes Airport,US-MI,
0C7,small_airport,Grandpas' Farm Mendota Airport,US-IL,
0C8,small_airport,Cushing Field Ltd Airport,US-IL,
0CA3,small_airport,Crawford Airport,US-CA,
0CA4,small_airport,Shepherd Farm Airport,US-CA,
0CA5,small_airport,Hoffman Private Airport,US-CA,
0CA6,small_airport,Emory Ranch Airport,US-CA,
0CA8,small_airport,Ward Ranch Airport,US-CA,
0CA9,small_airport,Blech Ranch Airport,US-CA,
0CD2,small_airport,Foxx Valley Airport,US-CO,
0CD5,small_airport,Pinon Canyon Airport,US-CO,
0CD7,small_airport,Fox Hole Airport,US-CO,
0CL0,small_airport,Yosemite Hidden Lake Ranch Airport,US-CA,
0CL1,small_airport,Krey Field Airport,US-CA,
0CL3,small_airport,John Nichol's Field Airport,US-CA,
0CL6,small_airport,Bohunk's Airpark,US-CA,
0CL8,small_airport,Tera Ultralightport,US-CA,
0CN1,small_airport,Fiorini Ranch Airport,US-CA,
0CN2,small_airport,Sutter Butte Dusters Airport,US-CA,
0CO1,small_airport,Dave's Airport,US-CO,
0CO2,small_airport,Crested Butte Airpark,US-CO,CSE
0CO5,small_airport,Chenoweth Airport,US-CO,
0CO6,small_airport,Flying M & M Ranch Airport,US-CO,
0CO8,small_airport,Cartwheel Airport,US-CO,
0CO9,small_airport,Van Treese Airport,US-CO,
0D6,small_airport,Wilber Municipal Airport,US-NE,
0D7,small_airport,Ada Airport,US-OH,
0D9,small_airport,Air Park North,US-MI,
0.00E+00,small_airport,Corydon Airport,US-IA,
0FA1,small_airport,Ott's Landing Airport,US-FL,
0FD0,small_airport,The 2A Ranch Airport,US-FL,
0FD3,small_airport,Dugger Field,US-FL,
0FD5,small_airport,Breezy Knoll Airport,US-FL,
0FD9,small_airport,Joy Farms Airport,US-FL,
0FL0,small_airport,Harper's Fly-In Ranch Airport,US-FL,
0FL9,small_airport,Mc Daniel Ranch Inc. Airport,US-FL,
0G0,small_airport,North Buffalo Suburban Airport,US-NY,
0GA0,small_airport,Halls Flying Ranch Airport,US-GA,
0GA1,small_airport,Mustang Field,US-GA,
0GA2,small_airport,"Airnautique, Inc. Airport",US-GA,
0GA3,small_airport,Ayresouth Airport,US-GA,
0GA4,small_airport,Paradise Falls Airport,US-GA,
0GA6,small_airport,Sunset Strip,US-GA,
0GA8,small_airport,Paso Fino Farm Airport,US-GA,
0GA9,small_airport,Roberta Industrial Park Airport,US-GA,
0GE0,small_airport,Pinewood Airport,US-GA,
0GE1,small_airport,Crystal Lake Airpark,US-GA,
0GE3,small_airport,Lookout Mountain Airport,US-GA,
0GE4,small_airport,Pecan Patch Airstrip,US-GA,
0GE5,small_airport,Mountain Airpark,US-GA,
0GE7,small_airport,Carpenter Airport,US-GA,
0GE9,small_airport,Pegasus Ranch Airport,US-GA,
0H7,small_airport,Kahoka Municipal Airport,US-MO,
0I2,small_airport,Brazil Clay County Airport,US-IN,
0IA3,small_airport,Hawkeye Airport,US-IA,
0IA4,small_airport,Sharar Field,US-IA,
0IA5,small_airport,Moore Private Airport,US-IA,
0IA6,small_airport,Rinehart Airport,US-IA,
0IA8,small_airport,Hannen Airport,US-IA,
0ID0,small_airport,South Fork Ranch Airport,US-ID,
0ID1,small_airport,Ziggy's Airport,US-ID,
0ID2,small_airport,Flying Joseph Ranch Airport,US-ID,
0ID3,small_airport,Coyote Run Airport,US-ID,
0ID4,small_airport,Black Butte Ranch Airport,US-ID,
0ID5,small_airport,Ez Lope Ranch Airport,US-ID,
0ID7,small_airport,Z X Ranch Airport,US-ID,
0ID8,small_airport,Pinnacle Airport,US-ID,
0ID9,small_airport,Corral Creek Airport,US-ID,
0II0,small_airport,Chuck's Airport,US-IN,
0II1,small_airport,Unsicker Airport,US-IN,
0II2,small_airport,Creighton Airport,US-IN,
0II5,small_airport,Marshall Field,US-IN,
0II6,small_airport,Kropf Airport,US-IN,
0II7,small_airport,Frost Field,US-IN,
0II8,small_airport,Sutton's Field,US-IN,
0II9,small_airport,Winters Airport,US-IN,
0IL2,small_airport,Griffin Airport,US-IL,
0IL3,small_airport,Flying B Ranch Airport,US-IL,
0IL8,small_airport,Walter Airport,US-IL,
0IL9,small_airport,Jack W. Watson Airport,US-IL,
0IN1,small_airport,Snider Field,US-IN,
0IN2,small_airport,The Lazy K Airport,US-IN,
0IN3,small_airport,Graves Landing Strip,US-IN,
0IN4,small_airport,Air Park Field,US-IN,
0IN5,small_airport,Byrne Field,US-IN,
0IN9,small_airport,Parrish Airport,US-IN,
